country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",19-05-2025 10:00:00,26.6879226,88.4152495,OZONE,21,25
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",19-05-2025 10:00:00,25.204762,85.514960,SO2,8,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-05-2025 10:00:00,25.567520,83.966379,PM2.5,23,88
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-05-2025 10:00:00,25.567520,83.966379,NH3,3,4
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-05-2025 10:00:00,25.567520,83.966379,CO,24,30
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",19-05-2025 10:00:00,24.7955,84.9994,CO,16,48
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-05-2025 10:00:00,24.792403,84.992416,OZONE,11,54
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",19-05-2025 10:00:00,24.762518,84.982348,NH3,3,4
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",19-05-2025 10:00:00,24.762518,84.982348,SO2,8,9
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",19-05-2025 10:00:00,24.762518,84.982348,CO,24,38
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",19-05-2025 10:00:00,25.697189,85.245900,NH3,4,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",19-05-2025 10:00:00,16.509717,80.612222,PM10,37,97
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",19-05-2025 10:00:00,17.72,83.3,SO2,5,13
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",19-05-2025 10:00:00,17.72,83.3,OZONE,14,99
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",19-05-2025 10:00:00,27.103358,93.679645,PM2.5,19,58
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",19-05-2025 10:00:00,27.103358,93.679645,SO2,6,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",19-05-2025 10:00:00,26.071318,91.87488,PM2.5,92,150
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",19-05-2025 10:00:00,25.697189,85.245900,CO,18,28
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",19-05-2025 10:00:00,25.560083,87.553265,PM10,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",19-05-2025 10:00:00,25.560083,87.553265,SO2,14,29
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",19-05-2025 10:00:00,26.0881305,87.93840336,OZONE,13,23
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",19-05-2025 10:00:00,27.308328,84.531742,PM10,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",19-05-2025 10:00:00,26.63086,84.90051,NO2,10,15
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",19-05-2025 10:00:00,24.75746,84.366208,OZONE,7,95
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",19-05-2025 10:00:00,25.42742023,86.13886079,CO,32,66
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",19-05-2025 10:00:00,26.80365,84.51954,SO2,9,21
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",19-05-2025 10:00:00,26.80365,84.51954,OZONE,15,30
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",19-05-2025 10:00:00,25.265194,87.012947,PM10,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",19-05-2025 10:00:00,13.67,79.35,CO,2,80
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",19-05-2025 10:00:00,13.67,79.35,OZONE,6,23
