country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.695381,77.181665,SO2,8,15,12
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","09-07-2026 18:00:00",28.5710274,77.0719006,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","09-07-2026 18:00:00",28.5710274,77.0719006,CO,28,40,33
India,Delhi,Delhi,"DTU, Delhi - CPCB","09-07-2026 18:00:00",28.7500499,77.1112615,NH3,3,8,5
India,Delhi,Delhi,"DTU, Delhi - CPCB","09-07-2026 18:00:00",28.7500499,77.1112615,CO,20,28,24
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","09-07-2026 18:00:00",28.54246,77.191651,NH3,NA,NA,NA
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","09-07-2026 18:00:00",28.54246,77.191651,OZONE,16,34,27
India,Delhi,Delhi,"ITO, Delhi - CPCB","09-07-2026 18:00:00",28.628624,77.24106,PM10,6,55,23
India,Delhi,Delhi,"ITO, Delhi - CPCB","09-07-2026 18:00:00",28.628624,77.24106,NO2,34,80,56
India,Delhi,Delhi,"ITO, Delhi - CPCB","09-07-2026 18:00:00",28.628624,77.24106,CO,44,55,48
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","09-07-2026 18:00:00",28.563262,77.186937,CO,27,32,30
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","09-07-2026 18:00:00",28.6573814,77.1585447,PM2.5,0,63,21
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","09-07-2026 18:00:00",28.5918245,77.2273074,NO2,4,103,14
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","09-07-2026 18:00:00",28.5918245,77.2273074,CO,31,33,32
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","09-07-2026 18:00:00",23.016834,72.625775,OZONE,5,7,6
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-07-2026 18:00:00",21.613267,73.010555,NO2,30,30,30
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","09-07-2026 18:00:00",21.755417,72.139056,PM2.5,32,44,38
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","09-07-2026 18:00:00",23.243639,72.68994,PM2.5,12,64,39
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","09-07-2026 18:00:00",23.243639,72.68994,SO2,1,128,21
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","09-07-2026 18:00:00",23.221714,72.654328,SO2,3,7,5
